Sentence #,Word,POS,Tag
Sentence: 0,studies,NNS,O
Sentence: 0,on,IN,O
Sentence: 0,magnesium,NN,O
Sentence: 0,s,NN,O
Sentence: 0,mechanism,NN,O
Sentence: 0,of,IN,O
Sentence: 0,action,NN,O
Sentence: 0,in,IN,O
Sentence: 0,digitalis,NN,plant
Sentence: 0,induced,VBD,O
Sentence: 0,arrhythmias,NNS,disease
Sentence: 1,the,DT,O
Sentence: 1,mechanism,NN,O
Sentence: 1,by,IN,O
Sentence: 1,which,WDT,O
Sentence: 1,magnesium,NN,O
Sentence: 1,affects,VBZ,O
Sentence: 1,digitalis,RB,plant
Sentence: 1,induced,JJ,O
Sentence: 1,arrhythmias,NN,disease
Sentence: 1,was,VBD,O
Sentence: 1,studied,VBN,O
Sentence: 1,in,IN,O
Sentence: 1,dogs,NNS,O
Sentence: 1,with,IN,O
Sentence: 1,and,CC,O
Sentence: 1,without,IN,O
Sentence: 1,beta,NN,O
Sentence: 1,receptor,NN,O
Sentence: 2,magnesium,NN,O
Sentence: 2,s,NN,O
Sentence: 2,direct,JJ,O
Sentence: 2,effect,NN,O
Sentence: 2,on,IN,O
Sentence: 2,calcium,NN,O
Sentence: 2,and,CC,O
Sentence: 2,potassium,NN,O
Sentence: 2,fluxes,NNS,O
Sentence: 2,across,IN,O
Sentence: 2,the,DT,O
Sentence: 2,myocardial,NN,O
Sentence: 2,cell,NN,O
Sentence: 2,membrane,NN,O
Sentence: 2,may,MD,O
Sentence: 2,be,VB,O
Sentence: 2,the,DT,O
Sentence: 2,mechanism,NN,O
Sentence: 2,of,IN,O
Sentence: 2,its,PRP$,O
Sentence: 2,antiarrhythmic,JJ,O
Sentence: 2,action,NN,O
Sentence: 2,in,IN,O
Sentence: 2,digitalis,NN,plant
Sentence: 2,toxic,NN,O
Sentence: 2,arrhythmias,NN,disease
Sentence: 3,inhibitory,JJ,O
Sentence: 3,effect,NN,O
Sentence: 3,of,IN,O
Sentence: 3,green,JJ,plant
Sentence: 3,tea,NN,plant
Sentence: 3,on,IN,O
Sentence: 3,the,DT,O
Sentence: 3,growth,NN,O
Sentence: 3,of,IN,O
Sentence: 3,established,VBN,O
Sentence: 3,skin,NN,disease
Sentence: 3,papillomas,NN,disease
Sentence: 3,in,IN,O
Sentence: 4,in,IN,O
Sentence: 4,10,CD,O
Sentence: 4,separate,JJ,O
Sentence: 4,experiments,NNS,O
Sentence: 4,mice,NN,O
Sentence: 4,with,IN,O
Sentence: 4,established,VBN,O
Sentence: 4,chemically,RB,O
Sentence: 4,induced,JJ,O
Sentence: 4,or,CC,O
Sentence: 4,uv,JJ,O
Sentence: 4,light,NN,O
Sentence: 4,induced,VBD,O
Sentence: 4,skin,JJ,disease
Sentence: 4,papillomas,NN,disease
Sentence: 4,were,VBD,O
Sentence: 4,treated,VBN,O
Sentence: 4,continuously,RB,O
Sentence: 4,with,IN,O
Sentence: 4,green,JJ,plant
Sentence: 4,green,JJ,plant
Sentence: 4,tea,NN,plant
Sentence: 4,tea,NN,plant
Sentence: 4,in,IN,O
Sentence: 4,the,DT,O
Sentence: 4,drinking,NN,O
Sentence: 4,water,NN,O
Sentence: 4,or,CC,O
Sentence: 4,with,IN,O
Sentence: 4,i,JJ,O
Sentence: 4,p,VBP,O
Sentence: 4,injections,NNS,O
Sentence: 4,of,IN,O
Sentence: 4,a,DT,O
Sentence: 4,green,JJ,plant
Sentence: 4,green,JJ,plant
Sentence: 4,tea,NN,plant
Sentence: 4,tea,NN,plant
Sentence: 4,polyphenol,NN,O
Sentence: 4,fraction,NN,O
Sentence: 4,or,CC,O
Sentence: 4,epigallocatechin,JJ,O
Sentence: 4,gallate,NN,O
Sentence: 4,three,CD,O
Sentence: 4,times,NNS,O
Sentence: 4,a,DT,O
Sentence: 4,week,NN,O
Sentence: 4,for,IN,O
Sentence: 4,4,CD,O
Sentence: 4,10,CD,O
Sentence: 5,in,IN,O
Sentence: 5,10,CD,O
Sentence: 5,separate,JJ,O
Sentence: 5,experiments,NNS,O
Sentence: 5,mice,NN,O
Sentence: 5,with,IN,O
Sentence: 5,established,VBN,O
Sentence: 5,chemically,RB,O
Sentence: 5,induced,JJ,O
Sentence: 5,or,CC,O
Sentence: 5,uv,JJ,O
Sentence: 5,light,NN,O
Sentence: 5,induced,VBD,O
Sentence: 5,skin,JJ,disease
Sentence: 5,papillomas,NN,disease
Sentence: 5,were,VBD,O
Sentence: 5,treated,VBN,O
Sentence: 5,continuously,RB,O
Sentence: 5,with,IN,O
Sentence: 5,green,JJ,plant
Sentence: 5,green,JJ,plant
Sentence: 5,tea,NN,plant
Sentence: 5,tea,NN,plant
Sentence: 5,in,IN,O
Sentence: 5,the,DT,O
Sentence: 5,drinking,NN,O
Sentence: 5,water,NN,O
Sentence: 5,or,CC,O
Sentence: 5,with,IN,O
Sentence: 5,i,JJ,O
Sentence: 5,p,VBP,O
Sentence: 5,injections,NNS,O
Sentence: 5,of,IN,O
Sentence: 5,a,DT,O
Sentence: 5,green,JJ,plant
Sentence: 5,green,JJ,plant
Sentence: 5,tea,NN,plant
Sentence: 5,tea,NN,plant
Sentence: 5,polyphenol,NN,O
Sentence: 5,fraction,NN,O
Sentence: 5,or,CC,O
Sentence: 5,epigallocatechin,JJ,O
Sentence: 5,gallate,NN,O
Sentence: 5,three,CD,O
Sentence: 5,times,NNS,O
Sentence: 5,a,DT,O
Sentence: 5,week,NN,O
Sentence: 5,for,IN,O
Sentence: 5,4,CD,O
Sentence: 5,10,CD,O
Sentence: 6,examination,NN,O
Sentence: 6,of,IN,O
Sentence: 6,the,DT,O
Sentence: 6,data,NNS,O
Sentence: 6,from,IN,O
Sentence: 6,all,DT,O
Sentence: 6,ten,JJ,O
Sentence: 6,experiments,NNS,O
Sentence: 6,revealed,VBD,O
Sentence: 6,that,IN,O
Sentence: 6,complete,JJ,O
Sentence: 6,tumor,NN,disease
Sentence: 6,tumor,NN,disease
Sentence: 6,regression,NN,O
Sentence: 6,occurred,VBD,O
Sentence: 6,in,IN,O
Sentence: 6,14,CD,O
Sentence: 6,of,IN,O
Sentence: 6,346,CD,O
Sentence: 6,papilloma,NN,O
Sentence: 6,bearing,NN,O
Sentence: 6,mice,NN,O
Sentence: 6,4,CD,O
Sentence: 6,that,WDT,O
Sentence: 6,were,VBD,O
Sentence: 6,treated,VBN,O
Sentence: 6,with,IN,O
Sentence: 6,green,JJ,plant
Sentence: 6,green,JJ,plant
Sentence: 6,tea,NN,plant
Sentence: 6,tea,NN,plant
Sentence: 6,in,IN,O
Sentence: 6,the,DT,O
Sentence: 6,drinking,NN,O
Sentence: 6,water,NN,O
Sentence: 6,or,CC,O
Sentence: 6,with,IN,O
Sentence: 6,i,JJ,O
Sentence: 6,p,VBP,O
Sentence: 6,injections,NNS,O
Sentence: 6,of,IN,O
Sentence: 6,green,JJ,plant
Sentence: 6,green,JJ,plant
Sentence: 6,tea,NN,plant
Sentence: 6,tea,NN,plant
Sentence: 6,constituents,NNS,O
Sentence: 6,whereas,IN,O
Sentence: 6,none,NN,O
Sentence: 6,of,IN,O
Sentence: 6,the,DT,O
Sentence: 6,220,CD,O
Sentence: 6,papilloma,NN,O
Sentence: 6,bearing,NN,O
Sentence: 6,control,NN,O
Sentence: 6,mice,NN,O
Sentence: 6,treated,VBD,O
Sentence: 6,with,IN,O
Sentence: 6,only,JJ,O
Sentence: 6,vehicle,NN,O
Sentence: 6,exhibited,VBD,O
Sentence: 6,complete,JJ,O
Sentence: 6,tumor,NN,disease
Sentence: 6,tumor,NN,disease
Sentence: 7,examination,NN,O
Sentence: 7,of,IN,O
Sentence: 7,the,DT,O
Sentence: 7,data,NNS,O
Sentence: 7,from,IN,O
Sentence: 7,all,DT,O
Sentence: 7,ten,JJ,O
Sentence: 7,experiments,NNS,O
Sentence: 7,revealed,VBD,O
Sentence: 7,that,IN,O
Sentence: 7,complete,JJ,O
Sentence: 7,tumor,NN,disease
Sentence: 7,tumor,NN,disease
Sentence: 7,regression,NN,O
Sentence: 7,occurred,VBD,O
Sentence: 7,in,IN,O
Sentence: 7,14,CD,O
Sentence: 7,of,IN,O
Sentence: 7,346,CD,O
Sentence: 7,papilloma,NN,O
Sentence: 7,bearing,NN,O
Sentence: 7,mice,NN,O
Sentence: 7,4,CD,O
Sentence: 7,that,WDT,O
Sentence: 7,were,VBD,O
Sentence: 7,treated,VBN,O
Sentence: 7,with,IN,O
Sentence: 7,green,JJ,plant
Sentence: 7,green,JJ,plant
Sentence: 7,tea,NN,plant
Sentence: 7,tea,NN,plant
Sentence: 7,in,IN,O
Sentence: 7,the,DT,O
Sentence: 7,drinking,NN,O
Sentence: 7,water,NN,O
Sentence: 7,or,CC,O
Sentence: 7,with,IN,O
Sentence: 7,i,JJ,O
Sentence: 7,p,VBP,O
Sentence: 7,injections,NNS,O
Sentence: 7,of,IN,O
Sentence: 7,green,JJ,plant
Sentence: 7,green,JJ,plant
Sentence: 7,tea,NN,plant
Sentence: 7,tea,NN,plant
Sentence: 7,constituents,NNS,O
Sentence: 7,whereas,IN,O
Sentence: 7,none,NN,O
Sentence: 7,of,IN,O
Sentence: 7,the,DT,O
Sentence: 7,220,CD,O
Sentence: 7,papilloma,NN,O
Sentence: 7,bearing,NN,O
Sentence: 7,control,NN,O
Sentence: 7,mice,NN,O
Sentence: 7,treated,VBD,O
Sentence: 7,with,IN,O
Sentence: 7,only,JJ,O
Sentence: 7,vehicle,NN,O
Sentence: 7,exhibited,VBD,O
Sentence: 7,complete,JJ,O
Sentence: 7,tumor,NN,disease
Sentence: 7,tumor,NN,disease
Sentence: 8,examination,NN,O
Sentence: 8,of,IN,O
Sentence: 8,the,DT,O
Sentence: 8,data,NNS,O
Sentence: 8,from,IN,O
Sentence: 8,all,DT,O
Sentence: 8,ten,JJ,O
Sentence: 8,experiments,NNS,O
Sentence: 8,revealed,VBD,O
Sentence: 8,that,IN,O
Sentence: 8,complete,JJ,O
Sentence: 8,tumor,NN,disease
Sentence: 8,tumor,NN,disease
Sentence: 8,regression,NN,O
Sentence: 8,occurred,VBD,O
Sentence: 8,in,IN,O
Sentence: 8,14,CD,O
Sentence: 8,of,IN,O
Sentence: 8,346,CD,O
Sentence: 8,papilloma,NN,O
Sentence: 8,bearing,NN,O
Sentence: 8,mice,NN,O
Sentence: 8,4,CD,O
Sentence: 8,that,WDT,O
Sentence: 8,were,VBD,O
Sentence: 8,treated,VBN,O
Sentence: 8,with,IN,O
Sentence: 8,green,JJ,plant
Sentence: 8,green,JJ,plant
Sentence: 8,tea,NN,plant
Sentence: 8,tea,NN,plant
Sentence: 8,in,IN,O
Sentence: 8,the,DT,O
Sentence: 8,drinking,NN,O
Sentence: 8,water,NN,O
Sentence: 8,or,CC,O
Sentence: 8,with,IN,O
Sentence: 8,i,JJ,O
Sentence: 8,p,VBP,O
Sentence: 8,injections,NNS,O
Sentence: 8,of,IN,O
Sentence: 8,green,JJ,plant
Sentence: 8,green,JJ,plant
Sentence: 8,tea,NN,plant
Sentence: 8,tea,NN,plant
Sentence: 8,constituents,NNS,O
Sentence: 8,whereas,IN,O
Sentence: 8,none,NN,O
Sentence: 8,of,IN,O
Sentence: 8,the,DT,O
Sentence: 8,220,CD,O
Sentence: 8,papilloma,NN,O
Sentence: 8,bearing,NN,O
Sentence: 8,control,NN,O
Sentence: 8,mice,NN,O
Sentence: 8,treated,VBD,O
Sentence: 8,with,IN,O
Sentence: 8,only,JJ,O
Sentence: 8,vehicle,NN,O
Sentence: 8,exhibited,VBD,O
Sentence: 8,complete,JJ,O
Sentence: 8,tumor,NN,disease
Sentence: 8,tumor,NN,disease
Sentence: 9,examination,NN,O
Sentence: 9,of,IN,O
Sentence: 9,the,DT,O
Sentence: 9,data,NNS,O
Sentence: 9,from,IN,O
Sentence: 9,all,DT,O
Sentence: 9,ten,JJ,O
Sentence: 9,experiments,NNS,O
Sentence: 9,revealed,VBD,O
Sentence: 9,that,IN,O
Sentence: 9,complete,JJ,O
Sentence: 9,tumor,NN,disease
Sentence: 9,tumor,NN,disease
Sentence: 9,regression,NN,O
Sentence: 9,occurred,VBD,O
Sentence: 9,in,IN,O
Sentence: 9,14,CD,O
Sentence: 9,of,IN,O
Sentence: 9,346,CD,O
Sentence: 9,papilloma,NN,O
Sentence: 9,bearing,NN,O
Sentence: 9,mice,NN,O
Sentence: 9,4,CD,O
Sentence: 9,that,WDT,O
Sentence: 9,were,VBD,O
Sentence: 9,treated,VBN,O
Sentence: 9,with,IN,O
Sentence: 9,green,JJ,plant
Sentence: 9,green,JJ,plant
Sentence: 9,tea,NN,plant
Sentence: 9,tea,NN,plant
Sentence: 9,in,IN,O
Sentence: 9,the,DT,O
Sentence: 9,drinking,NN,O
Sentence: 9,water,NN,O
Sentence: 9,or,CC,O
Sentence: 9,with,IN,O
Sentence: 9,i,JJ,O
Sentence: 9,p,VBP,O
Sentence: 9,injections,NNS,O
Sentence: 9,of,IN,O
Sentence: 9,green,JJ,plant
Sentence: 9,green,JJ,plant
Sentence: 9,tea,NN,plant
Sentence: 9,tea,NN,plant
Sentence: 9,constituents,NNS,O
Sentence: 9,whereas,IN,O
Sentence: 9,none,NN,O
Sentence: 9,of,IN,O
Sentence: 9,the,DT,O
Sentence: 9,220,CD,O
Sentence: 9,papilloma,NN,O
Sentence: 9,bearing,NN,O
Sentence: 9,control,NN,O
Sentence: 9,mice,NN,O
Sentence: 9,treated,VBD,O
Sentence: 9,with,IN,O
Sentence: 9,only,JJ,O
Sentence: 9,vehicle,NN,O
Sentence: 9,exhibited,VBD,O
Sentence: 9,complete,JJ,O
Sentence: 9,tumor,NN,disease
Sentence: 9,tumor,NN,disease
Sentence: 10,these,DT,O
Sentence: 10,observations,NNS,O
Sentence: 10,indicate,VBP,O
Sentence: 10,that,IN,O
Sentence: 10,oral,JJ,O
Sentence: 10,administration,NN,O
Sentence: 10,of,IN,O
Sentence: 10,green,JJ,plant
Sentence: 10,green,JJ,plant
Sentence: 10,tea,NN,plant
Sentence: 10,tea,NN,plant
Sentence: 10,i,NN,O
Sentence: 10,p,VBP,O
Sentence: 10,administration,NN,O
Sentence: 10,of,IN,O
Sentence: 10,a,DT,O
Sentence: 10,green,JJ,plant
Sentence: 10,green,JJ,plant
Sentence: 10,tea,NN,plant
Sentence: 10,tea,NN,plant
Sentence: 10,polyphenol,NN,O
Sentence: 10,fraction,NN,O
Sentence: 10,or,CC,O
Sentence: 10,i,VB,O
Sentence: 10,p,JJ,O
Sentence: 10,administration,NN,O
Sentence: 10,of,IN,O
Sentence: 10,epigallocatechin,JJ,O
Sentence: 10,gallate,NN,O
Sentence: 10,inhibited,VBD,O
Sentence: 10,the,DT,O
Sentence: 10,growth,NN,O
Sentence: 10,and,CC,O
Sentence: 10,or,CC,O
Sentence: 10,caused,VBD,O
Sentence: 10,the,DT,O
Sentence: 10,regression,NN,O
Sentence: 10,of,IN,O
Sentence: 10,established,VBN,O
Sentence: 10,experimentally,RB,O
Sentence: 10,induced,JJ,O
Sentence: 10,skin,NN,disease
Sentence: 10,papillomas,NN,disease
Sentence: 11,these,DT,O
Sentence: 11,observations,NNS,O
Sentence: 11,indicate,VBP,O
Sentence: 11,that,IN,O
Sentence: 11,oral,JJ,O
Sentence: 11,administration,NN,O
Sentence: 11,of,IN,O
Sentence: 11,green,JJ,plant
Sentence: 11,green,JJ,plant
